"title_id";"Provider";"Link";"DateAdded";"ListedIn"
1;"Netflix";"https://www.netflix.com/search?q=Dick%20Johnson%20Is%20Dead";"25-Sep-21";"Documentaries"
2;"Netflix";"https://www.netflix.com/search?q=Blood%20and%20Water";"24-Sep-21";"International TV Shows, TV Dramas, TV Mysteries"
3;"Netflix";"https://www.netflix.com/search?q=Ganglands";"24-Sep-21";"Crime TV Shows, International TV Shows, TV Action & Adventure"
4;"Netflix";"https://www.netflix.com/search?q=Jailbirds%20New%20Orleans";"24-Sep-21";"Docuseries, Reality TV"
5;"Netflix";"https://www.netflix.com/search?q=Kota%20Factory";"24-Sep-21";"International TV Shows, Romantic TV Shows, TV Comedies"
6;"Netflix";"https://www.netflix.com/search?q=Midnight%20Mass";"24-Sep-21";"TV Dramas, TV Horror, TV Mysteries"
7;"Netflix";"https://www.netflix.com/search?q=My%20Little%20Pony:%20A%20New%20Generation";"24-Sep-21";"Children & Family Movies"
8;"Netflix";"https://www.netflix.com/search?q=Sankofa";"24-Sep-21";"Dramas, Independent Movies, International Movies"
9;"Netflix";"https://www.netflix.com/search?q=The%20Great%20British%20Baking%20Show";"24-Sep-21";"British TV Shows, Reality TV"
10;"Netflix";"https://www.netflix.com/search?q=The%20Starling";"24-Sep-21";"Comedies, Dramas"
11;"Netflix";"https://www.netflix.com/search?q=Vendetta:%20Truth,%20Lies%20and%20The%20Mafia";"24-Sep-21";"Crime TV Shows, Docuseries, International TV Shows"
12;"Netflix";"https://www.netflix.com/search?q=Bangkok%20Breaking";"23-Sep-21";"Crime TV Shows, International TV Shows, TV Action & Adventure"
13;"Netflix";"https://www.netflix.com/search?q=Je%20Suis%20Karl";"23-Sep-21";"Dramas, International Movies"
14;"Netflix";"https://www.netflix.com/search?q=Confessions%20of%20an%20Invisible%20Girl";"22-Sep-21";"Children & Family Movies, Comedies"
15;"Netflix";"https://www.netflix.com/search?q=Crime%20Stories:%20India%20Detectives";"22-Sep-21";"British TV Shows, Crime TV Shows, Docuseries"
16;"Hulu";"https://www.hulu.com/series/Dear-White-People";"July 1, 2021";"Comedy, Drama"
16;"Netflix";"https://www.netflix.com/search?q=Dear%20White%20People";"22-Sep-21";"TV Comedies, TV Dramas"
17;"Netflix";"";"22-Sep-21";"Documentaries, International Movies"
18;"Netflix";"https://www.netflix.com/search?q=Falsa%20identidad";"22-Sep-21";"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
19;"Netflix";"https://www.netflix.com/search?q=Intrusion";"22-Sep-21";"Thrillers"
19;"Prime";"https://www.amazon.com/s?k=Intrusion&i=instant-video";"";"Action"
20;"Netflix";"https://www.netflix.com/search?q=Jaguar";"22-Sep-21";"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
21;"Netflix";"https://www.netflix.com/search?q=Monsters%20Inside:%20The%2024%20Faces%20of%20Billy%20Milligan";"22-Sep-21";"Crime TV Shows, Docuseries, International TV Shows"
22;"Netflix";"https://www.netflix.com/search?q=Resurrection:%20Ertugrul";"22-Sep-21";"International TV Shows, TV Action & Adventure, TV Dramas"
23;"Netflix";"https://www.netflix.com/search?q=Avvai%20Shanmughi";"21-Sep-21";"Comedies, International Movies"
24;"Netflix";"https://www.netflix.com/search?q=Go!%20Go!%20Cory%20Carson:%20Chrissy%20Takes%20the%20Wheel";"21-Sep-21";"Children & Family Movies"
25;"Netflix";"https://www.netflix.com/search?q=Jeans";"21-Sep-21";"Comedies, International Movies, Romantic Movies"
26;"Netflix";"https://www.netflix.com/search?q=Love%20on%20the%20Spectrum";"21-Sep-21";"Docuseries, International TV Shows, Reality TV"
27;"Netflix";"https://www.netflix.com/search?q=Minsara%20Kanavu";"21-Sep-21";"Comedies, International Movies, Music & Musicals"
28;"Hulu";"https://www.hulu.com/movie/Grown-Ups";"September 20, 2021";"Comedy"
28;"Netflix";"https://www.netflix.com/search?q=Grown%20Ups";"20-Sep-21";"Comedies"
